name,birth_date,age,gender,hometown,address,phone,exp_years
Vũ Ngọc Phương,1/17/1995,31,Nữ,Nghệ An,"317 Hoàng Văn Thụ, Nha Trang, Khánh Hòa",799465997,1
Vũ Văn Sơn,5/14/1996,30,Nam,Đà Nẵng,"810 Nguyễn Trãi, Thuận An, Bình Dương",432371536,2
Huỳnh Mỹ Nga,7/15/1964,62,Nữ,Cần Thơ,"769 Hoàng Văn Thụ, Biên Hòa, Đồng Nai",878714030,20
Lê Đức Hiếu,8/5/1963,63,Nam,Đà Nẵng,"672 Hoàng Văn Thụ, Sầm Sơn, Thanh Hóa",851371885,14
Đỗ Kim Nga,5/21/1997,29,Nữ,Khánh Hòa,"802 Hoàng Văn Thụ, Hạ Long, Quảng Ninh",598220078,4
Huỳnh Kim Trang,1/23/1973,53,Nữ,TP. Hồ Chí Minh,"346 Lý Thường Kiệt, Bỉm Sơn, Thanh Hóa",375206846,29
Hồ Thanh Quỳnh,3/4/1964,62,Nữ,Đà Nẵng,"221 Hoàng Văn Thụ, Uông Bí, Quảng Ninh",245703538,15
Ngô Quốc Hải,3/11/1974,52,Nam,Bình Dương,"780 Lý Thường Kiệt, Thủ Dầu Một, Bình Dương",327964157,9
Vũ Trọng Khang,3/26/1964,62,Nam,Thanh Hóa,"180 Cách Mạng Tháng Tám, Hạ Long, Quảng Ninh",546500565,28
Phan Diệu Lan,1/26/1974,52,Nữ,Nghệ An,"87 Phan Chu Trinh, Sơn Trà, Đà Nẵng",518902310,19
Bùi Đức Hiếu,2/16/1977,49,Nam,Khánh Hòa,"721 Cách Mạng Tháng Tám, Hai Bà Trưng, Hà Nội",823542395,8
Phạm Khánh Hạnh,3/9/1968,58,Nữ,Bình Dương,"90 Phan Chu Trinh, Cẩm Phả, Quảng Ninh",671923608,26
Lê Trọng Thành,8/3/1971,55,Nam,Hải Phòng,"981 Hoàng Văn Thụ, Thuận Hóa, Huế",555033647,6
Đỗ Ngọc Thảo,3/9/1987,39,Nữ,Thanh Hóa,"923 Lý Thường Kiệt, Ninh Hòa, Khánh Hòa",838715354,3
Nguyễn Thanh Hương,10/3/1973,52,Nữ,Thanh Hóa,"945 Lê Lợi, Ô Môn, Cần Thơ",944949216,27
Lê Gia Hiếu,7/19/1985,41,Nam,Nghệ An,"327 Lê Lợi, Cam Ranh, Khánh Hòa",58600090,7
Võ Gia Bình,5/23/1981,45,Nam,Khánh Hòa,"602 Phan Chu Trinh, Vinh, Nghệ An",459604608,1
Võ Thu Anh,5/12/1980,46,Nữ,Đà Nẵng,"365 Hoàng Văn Thụ, Long Khánh, Đồng Nai",677612199,20
Dương Hoàng Long,12/14/1985,40,Nam,Hà Nội,"220 Trần Hưng Đạo, Cam Ranh, Khánh Hòa",430272256,12
Trần Trọng Vinh,4/27/1969,57,Nam,Nghệ An,"704 Phan Chu Trinh, Vinh, Nghệ An",935038801,1
Lý Thu Phương,5/31/1992,34,Nữ,Cần Thơ,"158 Điện Biên Phủ, Sơn Trà, Đà Nẵng",612997529,5
Bùi Thanh Thành,6/27/1982,44,Nam,Đồng Nai,"715 Hoàng Văn Thụ, Quận 1, TP. Hồ Chí Minh",906147310,11
Đặng Ngọc Lan,6/17/1970,56,Nữ,Quảng Ninh,"771 Hai Bà Trưng, Gò Vấp, TP. Hồ Chí Minh",99526159,31
Đỗ Thanh Phong,6/20/1988,38,Nam,Thanh Hóa,"558 Lý Thường Kiệt, Quỳnh Lưu, Nghệ An",871933848,1
Vũ Minh Việt,7/23/1991,35,Nam,Đồng Nai,"826 Trần Hưng Đạo, Bình Thủy, Cần Thơ",310440375,12
Lý Phương Linh,10/24/1971,54,Nữ,Hải Phòng,"818 Lý Thường Kiệt, Hạ Long, Quảng Ninh",646022172,20
Huỳnh Bảo Nga,11/4/1997,28,Nữ,Hà Nội,"368 Phan Chu Trinh, Quận 3, TP. Hồ Chí Minh",654941798,2
Phan Minh Long,5/21/1966,60,Nam,Hà Nội,"124 Cách Mạng Tháng Tám, Quỳnh Lưu, Nghệ An",614091403,30
Lê Quốc Hiếu,4/21/1985,41,Nam,Quảng Ninh,"150 Nguyễn Trãi, Bình Thạnh, TP. Hồ Chí Minh",167457914,18
Bùi Quốc Sơn,6/11/1979,47,Nam,Đồng Nai,"162 Nguyễn Huệ, Cái Răng, Cần Thơ",120485665,21
Nguyễn Hoàng Vinh,12/2/1972,53,Nam,Hà Nội,"659 Cách Mạng Tháng Tám, Ba Đình, Hà Nội",940767084,9
Huỳnh Bảo Hạnh,2/26/1996,30,Nữ,Thanh Hóa,"720 Lý Thường Kiệt, Bỉm Sơn, Thanh Hóa",625189129,7
Ngô Đức Đức,6/14/1981,45,Nam,Hải Phòng,"126 Lê Lợi, Bình Thủy, Cần Thơ",402280187,18
Huỳnh Khánh Linh,10/30/1993,32,Nữ,Khánh Hòa,"489 Hoàng Văn Thụ, Cửa Lò, Nghệ An",995544249,5
Lê Diệu Nhung,5/14/1979,47,Nữ,Đà Nẵng,"127 Hoàng Văn Thụ, Cầu Giấy, Hà Nội",466671343,15
Vũ Mỹ Trang,1/29/1961,65,Nữ,TP. Hồ Chí Minh,"628 Nguyễn Trãi, Cái Răng, Cần Thơ",399709151,4
Bùi Khánh Châu,5/17/1969,57,Nữ,Hà Nội,"500 Lý Thường Kiệt, TP. Thanh Hóa, Thanh Hóa",706760973,1
Huỳnh Hoàng Phong,3/13/1981,45,Nam,Huế,"361 Nguyễn Trãi, Cầu Giấy, Hà Nội",662800261,13
Đỗ Diệu Phương,6/3/1965,61,Nữ,Hà Nội,"186 Hai Bà Trưng, Nha Trang, Khánh Hòa",458313720,8
Lê Hữu Khang,4/22/1999,27,Nam,Khánh Hòa,"507 Lê Lợi, Hạ Long, Quảng Ninh",198847008,3
Võ Ngọc Thảo,3/27/2000,26,Nữ,Hà Nội,"573 Hoàng Văn Thụ, Phú Xuân, Huế",199350949,2
Võ Hữu Đức,9/9/1974,52,Nam,Cần Thơ,"363 Hai Bà Trưng, Cẩm Phả, Quảng Ninh",33825344,24
Đặng Khánh Linh,12/30/1965,60,Nữ,Cần Thơ,"714 Nguyễn Trãi, Phú Xuân, Huế",580380493,35
Bùi Đức Thành,9/19/1986,40,Nam,Thanh Hóa,"152 Nguyễn Trãi, Uông Bí, Quảng Ninh",140224324,13
Phan Đức Sơn,12/17/1969,56,Nam,Quảng Ninh,"368 Trần Hưng Đạo, Cái Răng, Cần Thơ",209623207,4
Phạm Văn Đạt,5/31/1973,53,Nam,Cần Thơ,"4 Hai Bà Trưng, Hồng Bàng, Hải Phòng",454660014,29
Đặng Gia Khang,1/24/1974,52,Nam,TP. Hồ Chí Minh,"751 Phan Chu Trinh, Thuận An, Bình Dương",935391810,29
Huỳnh Thị Mai,5/31/1983,43,Nữ,Khánh Hòa,"300 Nguyễn Trãi, Quận 7, TP. Hồ Chí Minh",281019318,14
Ngô Gia Khang,10/31/1983,42,Nam,Thanh Hóa,"969 Nguyễn Trãi, Thuận Hóa, Huế",187621903,19
Lý Quốc Thành,5/11/1969,57,Nam,Hà Nội,"433 Lý Thường Kiệt, Cửa Lò, Nghệ An",384497948,10
Nguyễn Khánh Yến,10/3/1998,27,Nữ,Hà Nội,"608 Trần Hưng Đạo, Phú Xuân, Huế",668829052,3
Đỗ Xuân Bình,5/1/1983,43,Nam,Đà Nẵng,"851 Cách Mạng Tháng Tám, Long Khánh, Đồng Nai",273422077,13
Lê Thu Nhung,5/4/1985,41,Nữ,Hà Nội,"231 Điện Biên Phủ, Nha Trang, Khánh Hòa",606804627,6
Bùi Phương Trinh,2/24/1964,62,Nữ,Hải Phòng,"452 Hoàng Văn Thụ, Vinh, Nghệ An",343273269,8
Lê Diệu Mai,6/4/1965,61,Nữ,TP. Hồ Chí Minh,"423 Lý Thường Kiệt, Biên Hòa, Đồng Nai",288614217,13
Hoàng Thanh Hiếu,1/16/1967,59,Nam,Quảng Ninh,"24 Hai Bà Trưng, Kiến An, Hải Phòng",736122701,17
Hồ Thanh Ngân,7/20/1977,49,Nữ,Quảng Ninh,"736 Lê Lợi, Ba Đình, Hà Nội",400448324,9
Phạm Thanh My,4/1/1981,45,Nữ,Quảng Ninh,"405 Lý Thường Kiệt, Thanh Khê, Đà Nẵng",877176559,6
Lý Thanh Trang,3/30/1996,30,Nữ,Đà Nẵng,"301 Cách Mạng Tháng Tám, Phú Xuân, Huế",342993146,5
Bùi Thị Phương,2/19/1996,30,Nữ,TP. Hồ Chí Minh,"912 Lý Thường Kiệt, Ninh Kiều, Cần Thơ",82791754,3
Lý Xuân Hùng,2/9/1992,34,Nam,Thanh Hóa,"244 Hai Bà Trưng, Sầm Sơn, Thanh Hóa",79826234,10
Huỳnh Thanh Vinh,7/5/1967,59,Nam,Đồng Nai,"183 Nguyễn Huệ, Thuận Hóa, Huế",977022957,8
Võ Quốc Tuấn,4/23/1982,44,Nam,Đồng Nai,"155 Trần Hưng Đạo, Cái Răng, Cần Thơ",180763622,7
Lý Thị Linh,11/26/1987,38,Nữ,Đồng Nai,"317 Hai Bà Trưng, Ngô Quyền, Hải Phòng",175532697,2
Nguyễn Hoàng An,10/19/1960,65,Nam,Khánh Hòa,"954 Phan Chu Trinh, Vinh, Nghệ An",47972796,41
Bùi Hoàng Minh,1/27/1996,30,Nam,TP. Hồ Chí Minh,"108 Trần Hưng Đạo, TP. Thanh Hóa, Thanh Hóa",288617315,7
Vũ Đức Hiếu,8/20/1961,65,Nam,Bình Dương,"639 Hai Bà Trưng, Dĩ An, Bình Dương",346844926,6
Phan Quốc Sơn,7/13/2001,25,Nam,TP. Hồ Chí Minh,"628 Cách Mạng Tháng Tám, Thuận An, Bình Dương",615547755,2
Huỳnh Phương Ngân,11/7/1979,46,Nữ,TP. Hồ Chí Minh,"620 Trần Hưng Đạo, Phú Xuân, Huế",710978322,8
Đặng Hoàng Nam,10/30/1965,60,Nam,Hà Nội,"875 Nguyễn Huệ, Bình Thủy, Cần Thơ",161132336,20
Võ Bảo Mai,12/17/1977,48,Nữ,Hà Nội,"968 Cách Mạng Tháng Tám, Cam Ranh, Khánh Hòa",679867292,11
Đặng Minh Việt,3/15/1995,31,Nam,Huế,"360 Phan Chu Trinh, Sầm Sơn, Thanh Hóa",298353952,7
Vũ Hoàng Dũng,2/11/1985,41,Nam,TP. Hồ Chí Minh,"418 Lý Thường Kiệt, TP. Thanh Hóa, Thanh Hóa",307786979,3
Hoàng Bảo Hương,6/22/1967,59,Nữ,Nghệ An,"106 Hai Bà Trưng, Đống Đa, Hà Nội",227930196,33
Huỳnh Thanh Thành,3/1/1982,44,Nam,TP. Hồ Chí Minh,"119 Điện Biên Phủ, Cầu Giấy, Hà Nội",801367187,5
Nguyễn Gia Việt,9/11/1982,44,Nam,Cần Thơ,"459 Cách Mạng Tháng Tám, Thủ Dầu Một, Bình Dương",735595549,13
Trần Quốc Bình,11/17/1980,45,Nam,TP. Hồ Chí Minh,"643 Cách Mạng Tháng Tám, Cam Ranh, Khánh Hòa",228094788,8
Lý Đức Tuấn,3/7/1982,44,Nam,Khánh Hòa,"926 Phan Chu Trinh, Cửa Lò, Nghệ An",708455476,2
Hồ Phương Nhung,2/20/1992,34,Nữ,Thanh Hóa,"763 Trần Hưng Đạo, TP. Thanh Hóa, Thanh Hóa",434542819,8
Võ Quốc Hải,10/26/1979,46,Nam,Thanh Hóa,"635 Hai Bà Trưng, Sầm Sơn, Thanh Hóa",958314636,22
Bùi Văn Minh,1/6/1983,43,Nam,Hà Nội,"867 Cách Mạng Tháng Tám, Trảng Bom, Đồng Nai",806642854,15
Nguyễn Hoàng Dũng,12/10/1997,28,Nam,TP. Hồ Chí Minh,"701 Cách Mạng Tháng Tám, Quận 3, TP. Hồ Chí Minh",581707330,2
Vũ Văn Đạt,9/18/1972,54,Nam,Hải Phòng,"156 Trần Hưng Đạo, Biên Hòa, Đồng Nai",918001124,10
Nguyễn Xuân Tuấn,12/21/1980,45,Nam,Đà Nẵng,"47 Trần Hưng Đạo, Hải Châu, Đà Nẵng",485730190,5
Hồ Ngọc Nga,4/15/2000,26,Nữ,Bình Dương,"264 Hai Bà Trưng, Thuận An, Bình Dương",711517990,1
Ngô Hữu Tuấn,5/4/1965,61,Nam,Hà Nội,"364 Nguyễn Trãi, Thanh Khê, Đà Nẵng",741351866,16
Vũ Ngọc Hạnh,6/3/1981,45,Nữ,Đà Nẵng,"225 Điện Biên Phủ, Thủ Dầu Một, Bình Dương",750273887,15
Huỳnh Văn Thành,11/14/1994,31,Nam,Cần Thơ,"331 Phan Chu Trinh, Hải Châu, Đà Nẵng",29568100,4
Hồ Kim Nga,6/2/1974,52,Nữ,Hà Nội,"86 Điện Biên Phủ, Bình Thủy, Cần Thơ",449325140,11
Đặng Trọng Anh,3/4/1995,31,Nam,Cần Thơ,"382 Phan Chu Trinh, Nha Trang, Khánh Hòa",181239852,2
Hồ Xuân Đức,1/5/1992,34,Nam,Đồng Nai,"783 Nguyễn Trãi, Phú Xuân, Huế",44139030,7
Vũ Quốc Phong,5/6/1982,44,Nam,Cần Thơ,"646 Nguyễn Trãi, Cái Răng, Cần Thơ",290174390,5
Lê Quốc Đức,10/2/1999,26,Nam,Nghệ An,"665 Điện Biên Phủ, Quận 3, TP. Hồ Chí Minh",999936127,1
Phan Thanh Vinh,9/9/1968,58,Nam,TP. Hồ Chí Minh,"308 Phan Chu Trinh, Quận 7, TP. Hồ Chí Minh",974108286,6
Nguyễn Quốc Đạt,3/2/1966,60,Nam,Bình Dương,"214 Hai Bà Trưng, Cửa Lò, Nghệ An",377565315,13
Lý Khánh Hạnh,11/9/1969,56,Nữ,Hải Phòng,"578 Hoàng Văn Thụ, Quận 7, TP. Hồ Chí Minh",77542913,28
Nguyễn Trọng Minh,7/19/1998,28,Nam,Khánh Hòa,"209 Lê Lợi, Đống Đa, Hà Nội",314015061,2
Phạm Thanh Ngân,10/1/1969,56,Nữ,Hải Phòng,"36 Trần Hưng Đạo, Ninh Hòa, Khánh Hòa",809831106,29
Võ Mỹ Linh,11/27/1998,27,Nữ,Thanh Hóa,"465 Phan Chu Trinh, Phú Xuân, Huế",367752803,2
Đặng Thu Linh,12/31/1980,45,Nữ,Quảng Ninh,"339 Điện Biên Phủ, Hoàng Mai, Hà Nội",620916738,1
Đỗ Hữu An,12/8/1982,43,Nam,Thanh Hóa,"531 Hai Bà Trưng, Bỉm Sơn, Thanh Hóa",256930475,16
Phạm Phương Nhung,5/19/1987,39,Nữ,Cần Thơ,"276 Điện Biên Phủ, Thuận Hóa, Huế",84662901,13
Hồ Văn Phong,6/24/1979,47,Nam,Khánh Hòa,"535 Điện Biên Phủ, Cam Ranh, Khánh Hòa",540958365,15
Hồ Mỹ My,4/14/1996,30,Nữ,Đà Nẵng,"917 Nguyễn Trãi, Cẩm Phả, Quảng Ninh",497392586,6
Dương Quốc Dũng,4/3/1992,34,Nam,Huế,"748 Hai Bà Trưng, Long Khánh, Đồng Nai",208114868,11
Võ Mỹ Lan,5/27/1977,49,Nữ,Cần Thơ,"49 Nguyễn Trãi, Cái Răng, Cần Thơ",794034188,25
Nguyễn Thanh Lan,8/8/1971,55,Nữ,Nghệ An,"512 Nguyễn Trãi, Cẩm Phả, Quảng Ninh",445215497,20
Đỗ Ngọc Trinh,7/18/1968,58,Nữ,Quảng Ninh,"104 Cách Mạng Tháng Tám, Thuận Hóa, Huế",749495378,7
Bùi Khánh Thảo,1/5/1962,64,Nữ,Đồng Nai,"590 Trần Hưng Đạo, Hoàng Mai, Hà Nội",773294387,34
Phạm Khánh Phương,5/30/1968,58,Nữ,Khánh Hòa,"964 Hoàng Văn Thụ, Gò Vấp, TP. Hồ Chí Minh",196756384,28
Phan Thanh Ngân,1/11/1991,35,Nữ,Quảng Ninh,"418 Cách Mạng Tháng Tám, Gò Vấp, TP. Hồ Chí Minh",501729536,11
Phan Kim Trang,8/13/1987,39,Nữ,Thanh Hóa,"480 Hai Bà Trưng, Bình Thạnh, TP. Hồ Chí Minh",62319669,3
Võ Hoàng Vinh,2/11/2000,26,Nam,TP. Hồ Chí Minh,"453 Cách Mạng Tháng Tám, Cam Ranh, Khánh Hòa",463234634,1
Nguyễn Khánh Thảo,11/28/1989,36,Nữ,Quảng Ninh,"731 Hoàng Văn Thụ, TP. Thanh Hóa, Thanh Hóa",848003666,2
Phạm Mỹ Yến,11/28/1969,56,Nữ,Huế,"514 Phan Chu Trinh, Quỳnh Lưu, Nghệ An",415445942,21
Ngô Hữu Nam,8/3/1961,65,Nam,Thanh Hóa,"571 Nguyễn Trãi, Thuận An, Bình Dương",434105655,40
Bùi Thị Hạnh,12/31/1961,64,Nữ,Cần Thơ,"870 Trần Hưng Đạo, Bình Thạnh, TP. Hồ Chí Minh",913963743,27
Vũ Thu Anh,10/14/1976,49,Nữ,Hà Nội,"610 Lê Lợi, Ngũ Hành Sơn, Đà Nẵng",130734202,18
Nguyễn Thanh Hùng,10/15/1992,33,Nam,Huế,"215 Lê Lợi, Bình Thủy, Cần Thơ",991968586,4
Dương Văn Đạt,2/25/1966,60,Nam,Huế,"59 Nguyễn Trãi, Bình Thủy, Cần Thơ",558940496,3
Ngô Hữu Nam,5/23/1963,63,Nam,Nghệ An,"617 Nguyễn Trãi, Thuận Hóa, Huế",665637274,11
Vũ Hoàng Long,1/11/1975,51,Nam,Hải Phòng,"705 Nguyễn Trãi, Thuận An, Bình Dương",526657249,13
Đỗ Văn Hiếu,9/10/1999,27,Nam,Đà Nẵng,"825 Lê Lợi, Phú Xuân, Huế",19690314,2
Nguyễn Kim Phương,7/23/1983,43,Nữ,Đà Nẵng,"47 Điện Biên Phủ, Thuận Hóa, Huế",448405872,18
Lý Gia Tuấn,12/15/1992,33,Nam,Thanh Hóa,"803 Phan Chu Trinh, Ninh Hòa, Khánh Hòa",69868791,4
Phan Trọng Vinh,7/1/1963,63,Nam,Hà Nội,"511 Điện Biên Phủ, Kiến An, Hải Phòng",673413516,13
Bùi Ngọc Trinh,9/29/1994,31,Nữ,Bình Dương,"847 Hai Bà Trưng, Cái Răng, Cần Thơ",806957953,5
Trần Thị Phương,8/25/1972,54,Nữ,Đà Nẵng,"902 Trần Hưng Đạo, Bình Thạnh, TP. Hồ Chí Minh",858527598,17
Võ Đức Đức,8/31/1969,57,Nam,TP. Hồ Chí Minh,"317 Lê Lợi, Thanh Khê, Đà Nẵng",996183246,17
Bùi Mỹ My,6/22/1980,46,Nữ,Huế,"290 Phan Chu Trinh, Long Khánh, Đồng Nai",925979338,6
Lý Bảo Vy,2/18/1969,57,Nữ,Bình Dương,"547 Lê Lợi, Sơn Trà, Đà Nẵng",545466582,11
Lê Quốc Khang,7/23/1986,40,Nam,TP. Hồ Chí Minh,"687 Hoàng Văn Thụ, Ninh Kiều, Cần Thơ",374171317,13
Bùi Minh Hùng,3/3/1987,39,Nam,Thanh Hóa,"941 Lý Thường Kiệt, Ninh Kiều, Cần Thơ",8564308,12
Bùi Thanh My,3/19/1993,33,Nữ,Bình Dương,"433 Lê Lợi, Uông Bí, Quảng Ninh",560373664,7
Lý Diệu Trang,4/24/1969,57,Nữ,Quảng Ninh,"656 Nguyễn Huệ, Thủ Dầu Một, Bình Dương",613938071,16
Lý Bảo Vy,2/17/1988,38,Nữ,Hải Phòng,"846 Trần Hưng Đạo, Đống Đa, Hà Nội",618610575,2
Lê Thị Nga,7/30/2000,26,Nữ,Quảng Ninh,"400 Trần Hưng Đạo, Ô Môn, Cần Thơ",63456109,2
Nguyễn Gia Quân,3/2/1981,45,Nam,Hải Phòng,"783 Cách Mạng Tháng Tám, Ngô Quyền, Hải Phòng",634044265,14
Nguyễn Gia Đức,7/15/1982,44,Nam,Đà Nẵng,"379 Lê Lợi, Quận 1, TP. Hồ Chí Minh",971248119,11
Huỳnh Ngọc Mai,12/26/1999,26,Nữ,Bình Dương,"146 Lý Thường Kiệt, Hoàng Mai, Hà Nội",766981757,3
Lê Gia Quân,6/18/1998,28,Nam,Thanh Hóa,"223 Hoàng Văn Thụ, Cẩm Phả, Quảng Ninh",226704317,5
Huỳnh Ngọc Thảo,11/20/1980,45,Nữ,Quảng Ninh,"260 Cách Mạng Tháng Tám, Bình Thạnh, TP. Hồ Chí Minh",990538345,11
Huỳnh Ngọc Nhung,12/6/1985,40,Nữ,Hải Phòng,"977 Lý Thường Kiệt, Bình Thủy, Cần Thơ",846713888,12
Đỗ Thị Linh,1/28/1992,34,Nữ,Đà Nẵng,"457 Hai Bà Trưng, Thuận Hóa, Huế",285227769,5
Võ Diệu Hạnh,2/11/1984,42,Nữ,Khánh Hòa,"729 Hai Bà Trưng, Bình Thạnh, TP. Hồ Chí Minh",271033383,6
Bùi Thanh Trang,10/5/1963,62,Nữ,Bình Dương,"224 Nguyễn Huệ, Phú Xuân, Huế",899795219,27
Hồ Hữu Minh,6/1/1991,35,Nam,Hà Nội,"299 Điện Biên Phủ, Hồng Bàng, Hải Phòng",993027476,12
Đặng Hoàng Đức,5/28/1995,31,Nam,TP. Hồ Chí Minh,"291 Trần Hưng Đạo, Cam Ranh, Khánh Hòa",731091668,2
Hoàng Kim Anh,1/25/1994,32,Nữ,Đồng Nai,"460 Lê Lợi, Thủ Đức, TP. Hồ Chí Minh",63143644,5
Võ Trọng Sơn,2/4/1974,52,Nam,Nghệ An,"649 Điện Biên Phủ, Quỳnh Lưu, Nghệ An",989203775,28
Hoàng Thu Châu,3/10/1991,35,Nữ,Huế,"190 Trần Hưng Đạo, Bình Thủy, Cần Thơ",518470577,7
Phan Thanh Minh,6/23/1992,34,Nam,Nghệ An,"361 Hai Bà Trưng, Hai Bà Trưng, Hà Nội",521815708,4
Lý Kim Trang,3/19/1964,62,Nữ,Thanh Hóa,"94 Lê Lợi, Dĩ An, Bình Dương",903094095,14
Huỳnh Mỹ Phương,7/1/1975,51,Nữ,Quảng Ninh,"888 Hai Bà Trưng, Ninh Kiều, Cần Thơ",520797921,20
Vũ Đức Dũng,8/29/1990,36,Nam,Nghệ An,"958 Điện Biên Phủ, Diễn Châu, Nghệ An",931455761,10
Đặng Minh Dũng,4/1/1994,32,Nam,Cần Thơ,"773 Lý Thường Kiệt, Phú Xuân, Huế",624922171,3
Ngô Thanh Hùng,5/21/1970,56,Nam,Hà Nội,"368 Hai Bà Trưng, Bình Thủy, Cần Thơ",881281967,24
Phạm Thu Nga,3/28/1981,45,Nữ,Đồng Nai,"485 Phan Chu Trinh, Hải Châu, Đà Nẵng",622643472,10
Lý Thanh Thảo,10/20/1992,33,Nữ,Thanh Hóa,"973 Điện Biên Phủ, Cái Răng, Cần Thơ",530199187,4
Dương Mỹ Hạnh,4/21/1980,46,Nữ,Hải Phòng,"147 Cách Mạng Tháng Tám, Long Khánh, Đồng Nai",732394039,6
Hồ Hữu Sơn,12/11/1964,61,Nam,Đà Nẵng,"771 Trần Hưng Đạo, Hải Châu, Đà Nẵng",42342310,24
Hồ Diệu Linh,11/14/1982,43,Nữ,Hải Phòng,"810 Lý Thường Kiệt, Quận 7, TP. Hồ Chí Minh",62250490,16
Võ Đức Việt,1/6/1986,40,Nam,Khánh Hòa,"54 Lê Lợi, Đống Đa, Hà Nội",345706155,17
Hồ Hoàng Hải,2/6/1964,62,Nam,Đà Nẵng,"930 Lê Lợi, Lê Chân, Hải Phòng",276112045,16
Võ Trọng Việt,9/24/1979,46,Nam,Hải Phòng,"388 Hai Bà Trưng, Hải Châu, Đà Nẵng",778054126,13
Phạm Văn Tuấn,9/30/1974,51,Nam,Cần Thơ,"467 Cách Mạng Tháng Tám, Quận 1, TP. Hồ Chí Minh",344353318,9
Hoàng Mỹ Anh,2/11/1982,44,Nữ,Nghệ An,"230 Trần Hưng Đạo, Kiến An, Hải Phòng",422465696,1
Ngô Gia Dũng,9/16/1972,54,Nam,Đà Nẵng,"107 Điện Biên Phủ, TP. Thanh Hóa, Thanh Hóa",700744065,29
Phan Thanh Bình,5/29/1995,31,Nam,TP. Hồ Chí Minh,"271 Lê Lợi, Bình Thạnh, TP. Hồ Chí Minh",332490451,2
Bùi Văn An,4/4/1989,37,Nam,Quảng Ninh,"403 Nguyễn Huệ, Vinh, Nghệ An",996556212,9
Đặng Mỹ Yến,8/2/1992,34,Nữ,Huế,"438 Hoàng Văn Thụ, Đống Đa, Hà Nội",244624967,10
Đỗ Văn Đạt,6/8/1965,61,Nam,Quảng Ninh,"898 Hoàng Văn Thụ, Ngô Quyền, Hải Phòng",559174875,12
Phạm Xuân Hiếu,6/9/1999,27,Nam,Cần Thơ,"171 Trần Hưng Đạo, Biên Hòa, Đồng Nai",566348338,3
Trần Phương My,3/16/1985,41,Nữ,Đồng Nai,"495 Phan Chu Trinh, Bình Thủy, Cần Thơ",365302073,4
Trần Xuân An,10/12/1969,56,Nam,Đồng Nai,"728 Nguyễn Huệ, TP. Thanh Hóa, Thanh Hóa",905471140,23
Vũ Văn Anh,6/30/1970,56,Nam,Cần Thơ,"552 Trần Hưng Đạo, Thanh Khê, Đà Nẵng",177761810,17
Võ Thị Yến,9/17/1976,50,Nữ,TP. Hồ Chí Minh,"515 Cách Mạng Tháng Tám, Biên Hòa, Đồng Nai",586889187,6
Huỳnh Đức Vinh,8/19/1985,41,Nam,Hải Phòng,"711 Điện Biên Phủ, Biên Hòa, Đồng Nai",56650416,1
Võ Gia Phong,8/25/1999,27,Nam,Bình Dương,"778 Nguyễn Huệ, Quỳnh Lưu, Nghệ An",570758163,2
Lý Khánh Trinh,11/5/1999,26,Nữ,Bình Dương,"738 Hoàng Văn Thụ, Diễn Châu, Nghệ An",742252326,2
Huỳnh Minh Khang,10/4/1994,31,Nam,TP. Hồ Chí Minh,"18 Cách Mạng Tháng Tám, Uông Bí, Quảng Ninh",508213744,2
Đặng Gia Hải,6/3/1993,33,Nam,Đà Nẵng,"820 Lê Lợi, Quận 3, TP. Hồ Chí Minh",395808266,5
Lê Đức An,12/19/1982,43,Nam,Thanh Hóa,"191 Lê Lợi, Gò Vấp, TP. Hồ Chí Minh",869033233,15
Đặng Minh Hải,8/28/1992,34,Nam,Nghệ An,"67 Hoàng Văn Thụ, Hoàng Mai, Hà Nội",860605825,6
Võ Hoàng Anh,8/22/1974,52,Nam,Đồng Nai,"645 Hoàng Văn Thụ, Biên Hòa, Đồng Nai",174490374,1
Võ Minh Việt,1/5/1992,34,Nam,Thanh Hóa,"738 Lê Lợi, Phú Xuân, Huế",677842409,4
Hồ Minh Sơn,10/28/1990,35,Nam,Cần Thơ,"712 Nguyễn Trãi, Hai Bà Trưng, Hà Nội",795672622,5
Lý Xuân Thành,2/27/1993,33,Nam,Thanh Hóa,"253 Hai Bà Trưng, Thủ Dầu Một, Bình Dương",186124638,6
Bùi Trọng Hải,7/6/1962,64,Nam,Nghệ An,"980 Nguyễn Huệ, Uông Bí, Quảng Ninh",553025852,8
Nguyễn Quốc Anh,3/22/1963,63,Nam,Nghệ An,"763 Trần Hưng Đạo, Quỳnh Lưu, Nghệ An",703784788,23
Lê Phương Thảo,6/23/1995,31,Nữ,Khánh Hòa,"234 Lý Thường Kiệt, Thủ Dầu Một, Bình Dương",687514476,8
Hồ Bảo Anh,6/29/1979,47,Nữ,Cần Thơ,"831 Nguyễn Trãi, Trảng Bom, Đồng Nai",947129604,16
Lê Hữu Đạt,7/25/1999,27,Nam,Đồng Nai,"860 Hai Bà Trưng, Ninh Hòa, Khánh Hòa",854873500,4
Lý Trọng Khang,2/17/1967,59,Nam,Đà Nẵng,"490 Trần Hưng Đạo, TP. Thanh Hóa, Thanh Hóa",303891562,12
Huỳnh Kim Vy,7/2/1981,45,Nữ,Huế,"784 Lý Thường Kiệt, Ba Đình, Hà Nội",84488967,18
Phan Phương Phương,5/25/1971,55,Nữ,Hà Nội,"548 Hoàng Văn Thụ, Cái Răng, Cần Thơ",81332368,22
